IFIT1
IFIT2
IFIT3
EPSTI1
MX1
IFIH1
OAS1
OAS2
OAS3
APOL1
APOL6
ISG15
IFI27
PARP12
OASL
EIF2AK2
HELZ2
BST2
USP18
IRF7
IFITM1
IFITM2
IFITM3
SLC15A3
IL15RA
BATF2
ISG20
FCGR1A
MAP3K14
ETV7
IFNLR1
RSAD2
IFI35
TRIM25
TNFAIP3
