IFI6
ODC1
LY6E
SAT1
CDKN1A
EIF3L
MCL1
DDX3X
ISG15
IFNGR1
TNFAIP3
HLA-E
CD9
CD274
PNPT1
PABPC4
ACSL1
CREB3L3
UBE2L6
YBX3
GCH1
EHD4
SSBP3
MCUB
DYNLT1
BUB1
PRKD2
NFIL3
ATF3
RIPK2
IRF7
HLA-G
MT1F
MT1X
MT1G
MT1H
NOS2
STAT2
IFIT1
IFIT2
IFIT3
IFIT5
IFITM1
IFITM2
OAS1
OAS2
OAS3
OASL
MX1
MX2
APOBEC3G
BST2
IFNLR1
TLR3
TLR7
APOL1
APOL2
APOL3
APOL6
ISG20
IRF1
IRF2
IRF7
IRF9
CCL2
CCL5
