ABCA9
ABLIM3
ABTB2
ACSL1
ADAMDEC1
ADAR
ADM
AGPAT9
AHNAK2
AIM2
AKT3
ALDH1A1
ALYREF
AMPH
ANGPTL1
ANKFY1
ANKRD22
ANXA2R
APOBEC3A
APOBEC3G
APOL1
APOL2
APOL3
APOL6
AQP9
ARG2
ARHGEF3
ARNTL
ATF3
ATP10D
B2M
B4GALT5
BAG1
BATF2
BCL2L14
BCL3
BLVRA
BLZF1
BST2
BTN3A3
BUB1
C10orf10
C15orf48
C19orf66
C1S
C4orf32
C4orf33
C9orf91
CASP1
CASP7
CCDC92
CCL19
CCL2
CCL4
CCL5
CCL8
CCNA1
CCND3
CCR1
CD163
CD274
CD38
CD69
CD74
CD80
CD9
CDK17
CDK18
CDKN1A
CEACAM1
CEBPD
CES1
CFB
CHMP5
CLEC2B
CLEC4D
CLEC4E
CMAHP
CMTR1
CNP
COMMD3
CPT1A
CREB3L3
CRP
CRY1
CSRNP1
CTCFL
CX3CL1
CXCL10
CXCL11
CXCL9
CYP1B1
CYTH1
DCP1A
DDIT4
DDX3X
DDX58
DDX60
DEFB1
DHX58
DTX3L
DUSP5
DYNLT1
EHD4
EIF2AK2
EIF3L
ELF1
ENPP1
EPAS1
EPSTI1
ERLIN1
ETV6
ETV7
EXT1
FAM134B
FAM46A
FAM46C
FBXO6
FCGR1A
FFAR2
FKBP5
FLT1
FNDC3B
FNDC4
FUT4
FZD5
G6PC
GAK
GALNT2
GBP1
GBP2
GBP3
GBP4
GBP5
GCA
GCH1
GEM
GJA4
GK
GLIPR2
GLRX
GMPR
GPATCH11
GPX2
GTPBP1
GTPBP2
GZMB
HEG1
HELZ2
HERC6
HES4
HESX1
HK2
HLA-C
HLA-E
HLA-F
HLA-G
HPSE
HSH2D
IDO1
IFI16
IFI27
IFI30
IFI35
IFI44
IFI44L
IFI6
IFIH1
IFIT1
IFIT2
IFIT3
IFIT5
IFITM1
IFITM2
IFITM3
IFNGR1
IFNLR1
IGFBP2
IL15
IL15RA
IL17RB
IL1RN
IL6ST
IMPA2
IRAK4
IRF1
IRF2
IRF7
IRF9
ISG15
ISG20
JADE2
JAK2
JUNB
KIAA0040
LAMP3
LAP3
LGALS3
LGALS9
LGMN
LIPA
LMO2
LRG1
LY6E
MAB21L2
MAFB
MAFF
MAP3K14
MAP3K5
MARCKS
MASTL
MAX
MB21D1
MCL1
MCOLN2
MCUB
MICB
MOV10
MS4A4A
MSR1
MT1F
MT1G
MT1H
MT1M
MT1X
MTHFD2L
MVB12B
MX1
MX2
MYD88
MYOF
N4BP1
NAMPT
NAPA
NCF1
NCOA3
NDC80
NFIL3
NMI
NOD2
NOS2
NPAS2
NRN1
NT5C3A
NUP50
OAS1
OAS2
OAS3
OASL
ODC1
OGFR
OPTN
P2RY6
PABPC4
PADI2
PARP12
PDGFRL
PDK1
PFKFB3
PHF11
PI4K2B
PIM3
PLEKHA4
PLIN2
PLSCR1
PMAIP1
PML
PMM2
PNPT1
PNRC1
PPM1K
PRAME
PRKD2
PSMB10
PSMB8
PSMB9
PTMA
PUS1
PXK
RARRES3
RAB27A
RASGEF1A
RASSF4
RBCK1
RBM25
RGS1
RIPK2
RNASE4
RNF114
RNF19B
RNF213
RNF24
RPL22
RSAD2
RTCB
RTP4
S100A8
SAA1
SAMD4A
SAMHD1
SAT1
SCARB2
SCO2
SECTM1
SERPINB9
SERPINE1
SERPING1
SIRPA
SLC15A3
SLC16A1
SLC1A1
SLC25A28
SLC25A30
SLFN12
SLFN5
SMAD3
SNN
SOCS1
SOCS2
SP110
SPATS2L
SPSB1
SPTLC2
SSBP3
ST3GAL4
STAP1
STARD5
STAT1
STAT2
STEAP4
SUN2
TAGAP
TAP1
TAP2
TBX3
TCF7L2
TDRD7
TFEC
THBD
TIMP1
TLK2
TLR3
TLR7
TMEM140
TMEM255A
TMEM51
TNFAIP3
TNFAIP6
TNFRSF10A
TNFSF10
TNFSF13B
TRAFD1
TREX1
TRIM14
TRIM21
TRIM25
TRIM34
TRIM38
TRIM5
TRIM56
TXNIP
TYMP
UBA7
UBE2L6
ULK4
UNC93B1
UPP2
USP18
VAMP5
VEGFC
VMP1
WARS
WHAMM
XAF1
YBX3
ZBP1
ZBTB21
ZC3HAV1
ZNF107
ZNF385B
